Opportunity ID,Account ID 18 Digits,Opportunity Owner,Amount (converted),Stage,Created Date,Close Date,Age,Lead Source,Employees,Industry,Market Segment,Reporting Manager,Territory,Month&Year,Created Month & Year
00606000012b5JF,0010600001z3JtmAAE,AE 5,4000,Closed Lost,1/8/2022,1/25/2022,17,Partner Referral,,Food & Beverage - Restaurants,,Director of Sales 2,EMEA,Jan 2022,Jan 2022
00606000012b3w0,0010600001z3DY6AAM,AE 6,4235.35,Closed Lost,1/6/2022,2/2/2022,27,Inbound,,Agencies / Consultancies / Software Providers - IT Consultancies,,Director of Sales 2,EMEA,Feb 2022,Jan 2022
00606000012b4vX,0010600001z3IFzAAM,AE 5,4000,Closed Won,1/8/2022,2/7/2022,30,Inbound,476,Food & Beverage - Delivery Services,Corporate,Director of Sales 2,EMEA,Feb 2022,Jan 2022
00606000012bJiw,0010600001z5DWaAAM,AE 4,4235.35,Closed Lost,2/1/2022,2/12/2022,11,Inbound,,Agencies / Consultancies / Software Providers,,Director of Sales 2,EMEA,Feb 2022,Feb 2022
00606000012bCpU,0010600001z4R6PAAU,AE 4,4000,Closed Lost,1/20/2022,2/25/2022,36,Inbound,,Mobility & Transportation - Logistics,,Director of Sales 2,EMEA,Feb 2022,Jan 2022
00606000012b5xP,0010600001z3SKKAA2,AE 5,4522.5,Closed Lost,1/11/2022,3/3/2022,51,Inbound,,Insurance,,Director of Sales 2,EMEA,Mar 2022,Jan 2022
00606000012bKi5,0010600001z5Ep6AAE,AE 6,1055.25,Closed Lost,2/1/2022,3/5/2022,32,Inbound,,Travel - Hospitality,,Director of Sales 2,EMEA,Mar 2022,Feb 2022
00606000012bZ3P,0010600001z4SOYAA2,Executive 1,14713.2,Closed Won,2/24/2022,3/16/2022,20,Partner Referral,91,Apparel & Textile,Growth,IC,Other,Mar 2022,Feb 2022
00606000012bZVy,0010600001z6nHDAAY,AE 6,11155.5,Closed Won,2/25/2022,3/16/2022,19,Inbound,534,Gambling & Gaming,Corporate,Director of Sales 2,EMEA,Mar 2022,Feb 2022
00606000012bJ4I,0010600001z53KBAAY,AE 5,,Closed Lost,1/29/2022,3/25/2022,55,Inbound,,Other Consumer Goods,,Director of Sales 2,EMEA,Mar 2022,Jan 2022
00606000012bTfX,0010600001z6BfQAAU,AE 5,2700,Closed Lost,2/16/2022,3/25/2022,37,Inbound,,Other,,Director of Sales 2,EMEA,Mar 2022,Feb 2022
00606000012b7Lh,0010600001z3YHwAAM,AE 4,14000,Closed Won,1/12/2022,3/29/2022,76,Inbound,2669,Apparel & Textile - Sportswear / Sports Gear,Enterprise,Director of Sales 2,EMEA,Mar 2022,Jan 2022
00606000012bLda,0010600001z5J7RAAU,AE 4,33044.4,Closed Won,2/2/2022,3/30/2022,56,Inbound,6464,Other Consumer Goods,Enterprise,Director of Sales 2,EMEA,Mar 2022,Feb 2022
